datetime,province,humidity,latitude,longitude,pressure,temperature,weather_condition,wind_direction,wind_speed
2025-04-27 00:00:00,"Haiphong, Vietnam",93.0,20.865139,106.68383,1010.0,297.15,cloudy,118.0,3.06
2025-04-27 01:00:00,"Haiphong, Vietnam",92.0,20.865139,106.68383,1010.0,297.15,cloudy,126.0,2.78
2025-04-27 02:00:00,"Haiphong, Vietnam",95.0,20.865139,106.68383,1010.0,297.15,cloudy,121.0,2.78
2025-04-27 03:00:00,"Haiphong, Vietnam",97.0,20.865139,106.68383,1010.0,297.15,cloudy,124.0,2.78
2025-04-27 04:00:00,"Haiphong, Vietnam",97.0,20.865139,106.68383,1010.0,297.15,cloudy,116.0,2.5
2025-04-27 05:00:00,"Haiphong, Vietnam",98.0,20.865139,106.68383,1010.0,297.15,cloudy,111.0,1.94
2025-04-27 06:00:00,"Haiphong, Vietnam",97.0,20.865139,106.68383,1011.0,298.15,cloudy,115.0,1.94
2025-04-27 07:00:00,"Haiphong, Vietnam",90.0,20.865139,106.68383,1012.0,299.15,cloudy,145.0,3.06
2025-04-27 08:00:00,"Haiphong, Vietnam",81.0,20.865139,106.68383,1012.0,300.15,rainy,160.0,4.17
2025-04-27 09:00:00,"Haiphong, Vietnam",75.0,20.865139,106.68383,1012.0,301.15,rainy,161.0,5.0
2025-04-27 10:00:00,"Haiphong, Vietnam",69.0,20.865139,106.68383,1012.0,302.15,rainy,163.0,5.56
2025-04-27 11:00:00,"Haiphong, Vietnam",67.0,20.865139,106.68383,1012.0,302.15,rainy,162.0,5.56
2025-04-27 12:00:00,"Haiphong, Vietnam",64.0,20.865139,106.68383,1011.0,303.15,rainy,163.0,5.83
2025-04-27 13:00:00,"Haiphong, Vietnam",63.0,20.865139,106.68383,1010.0,303.15,rainy,162.0,5.83
2025-04-27 14:00:00,"Haiphong, Vietnam",65.0,20.865139,106.68383,1009.0,303.15,rainy,152.0,6.11
2025-04-27 15:00:00,"Haiphong, Vietnam",67.0,20.865139,106.68383,1008.0,302.15,rainy,149.0,5.56
2025-04-27 16:00:00,"Haiphong, Vietnam",71.0,20.865139,106.68383,1009.0,301.15,rainy,149.0,4.72
2025-04-27 17:00:00,"Haiphong, Vietnam",76.0,20.865139,106.68383,1008.0,300.15,cloudy,134.0,4.17
2025-04-27 18:00:00,"Haiphong, Vietnam",84.0,20.865139,106.68383,1010.0,299.15,cloudy,125.0,3.06
2025-04-27 19:00:00,"Haiphong, Vietnam",89.0,20.865139,106.68383,1010.0,299.15,cloudy,124.0,2.78
2025-04-27 20:00:00,"Haiphong, Vietnam",90.0,20.865139,106.68383,1010.0,298.15,cloudy,107.0,3.61
2025-04-27 21:00:00,"Haiphong, Vietnam",90.0,20.865139,106.68383,1011.0,298.15,cloudy,119.0,3.33
2025-04-27 22:00:00,"Haiphong, Vietnam",90.0,20.865139,106.68383,1011.0,298.15,cloudy,109.0,3.33
2025-04-27 23:00:00,"Haiphong, Vietnam",91.0,20.865139,106.68383,1012.0,298.15,rainy,103.0,1.67
2025-04-27 00:00:00,"Sóc Trăng, Soc Trang, Vietnam",74.0,9.602521,105.973907,1011.0,300.15,cloudy,139.0,3.06
2025-04-27 01:00:00,"Sóc Trăng, Soc Trang, Vietnam",74.0,9.602521,105.973907,1010.0,300.15,cloudy,139.0,2.78
2025-04-27 02:00:00,"Sóc Trăng, Soc Trang, Vietnam",75.0,9.602521,105.973907,1010.0,300.15,cloudy,128.0,2.22
2025-04-27 03:00:00,"Sóc Trăng, Soc Trang, Vietnam",76.0,9.602521,105.973907,1009.0,299.15,cloudy,115.0,2.5
2025-04-27 04:00:00,"Sóc Trăng, Soc Trang, Vietnam",77.0,9.602521,105.973907,1010.0,299.15,cloudy,108.0,2.22
2025-04-27 05:00:00,"Sóc Trăng, Soc Trang, Vietnam",77.0,9.602521,105.973907,1010.0,299.15,cloudy,107.0,2.22
2025-04-27 06:00:00,"Sóc Trăng, Soc Trang, Vietnam",77.0,9.602521,105.973907,1011.0,300.15,cloudy,102.0,2.5
2025-04-27 07:00:00,"Sóc Trăng, Soc Trang, Vietnam",70.0,9.602521,105.973907,1012.0,302.15,cloudy,97.0,3.06
2025-04-27 08:00:00,"Sóc Trăng, Soc Trang, Vietnam",62.0,9.602521,105.973907,1012.0,303.15,cloudy,100.0,3.33
2025-04-27 09:00:00,"Sóc Trăng, Soc Trang, Vietnam",55.0,9.602521,105.973907,1012.0,304.15,sunny,96.0,3.06
2025-04-27 10:00:00,"Sóc Trăng, Soc Trang, Vietnam",49.0,9.602521,105.973907,1012.0,305.15,sunny,103.0,3.33
2025-04-27 11:00:00,"Sóc Trăng, Soc Trang, Vietnam",44.0,9.602521,105.973907,1011.0,306.15,sunny,111.0,3.89
2025-04-27 12:00:00,"Sóc Trăng, Soc Trang, Vietnam",42.0,9.602521,105.973907,1010.0,307.15,sunny,116.0,4.44
2025-04-27 13:00:00,"Sóc Trăng, Soc Trang, Vietnam",40.0,9.602521,105.973907,1009.0,307.15,sunny,119.0,5.0
2025-04-27 14:00:00,"Sóc Trăng, Soc Trang, Vietnam",41.0,9.602521,105.973907,1008.0,307.15,sunny,121.0,5.83
2025-04-27 15:00:00,"Sóc Trăng, Soc Trang, Vietnam",45.0,9.602521,105.973907,1008.0,306.15,sunny,121.0,6.11
2025-04-27 16:00:00,"Sóc Trăng, Soc Trang, Vietnam",50.0,9.602521,105.973907,1007.0,305.15,sunny,122.0,5.83
2025-04-27 17:00:00,"Sóc Trăng, Soc Trang, Vietnam",53.0,9.602521,105.973907,1008.0,304.15,sunny,120.0,5.56
2025-04-27 18:00:00,"Sóc Trăng, Soc Trang, Vietnam",59.0,9.602521,105.973907,1008.0,303.15,sunny,121.0,4.72
2025-04-27 19:00:00,"Sóc Trăng, Soc Trang, Vietnam",64.0,9.602521,105.973907,1009.0,302.15,sunny,131.0,3.89
2025-04-27 20:00:00,"Sóc Trăng, Soc Trang, Vietnam",68.0,9.602521,105.973907,1009.0,302.15,sunny,140.0,3.33
2025-04-27 21:00:00,"Sóc Trăng, Soc Trang, Vietnam",70.0,9.602521,105.973907,1010.0,302.15,sunny,140.0,2.5
2025-04-27 22:00:00,"Sóc Trăng, Soc Trang, Vietnam",71.0,9.602521,105.973907,1010.0,301.15,sunny,134.0,1.94
2025-04-27 23:00:00,"Sóc Trăng, Soc Trang, Vietnam",73.0,9.602521,105.973907,1010.0,301.15,rainy,127.0,1.67
2025-04-27 00:00:00,"Huế, Thua Thien Hue, Vietnam",92.0,16.463713,107.590866,1010.0,297.15,sunny,140.0,1.67
2025-04-27 01:00:00,"Huế, Thua Thien Hue, Vietnam",93.0,16.463713,107.590866,1010.0,296.15,sunny,143.0,1.67
2025-04-27 02:00:00,"Huế, Thua Thien Hue, Vietnam",93.0,16.463713,107.590866,1009.0,296.15,sunny,158.0,1.67
2025-04-27 03:00:00,"Huế, Thua Thien Hue, Vietnam",93.0,16.463713,107.590866,1009.0,296.15,sunny,156.0,1.67
2025-04-27 04:00:00,"Huế, Thua Thien Hue, Vietnam",92.0,16.463713,107.590866,1009.0,296.15,sunny,178.0,1.39
2025-04-27 05:00:00,"Huế, Thua Thien Hue, Vietnam",92.0,16.463713,107.590866,1010.0,296.15,sunny,193.0,1.11
2025-04-27 06:00:00,"Huế, Thua Thien Hue, Vietnam",90.0,16.463713,107.590866,1011.0,297.15,sunny,200.0,1.11
2025-04-27 07:00:00,"Huế, Thua Thien Hue, Vietnam",83.0,16.463713,107.590866,1011.0,299.15,sunny,223.0,0.83
2025-04-27 08:00:00,"Huế, Thua Thien Hue, Vietnam",74.0,16.463713,107.590866,1012.0,301.15,sunny,166.0,0.56
2025-04-27 09:00:00,"Huế, Thua Thien Hue, Vietnam",66.0,16.463713,107.590866,1012.0,302.15,sunny,41.0,0.83
2025-04-27 10:00:00,"Huế, Thua Thien Hue, Vietnam",62.0,16.463713,107.590866,1011.0,303.15,sunny,30.0,1.94
2025-04-27 11:00:00,"Huế, Thua Thien Hue, Vietnam",62.0,16.463713,107.590866,1011.0,303.15,sunny,28.0,2.78
2025-04-27 12:00:00,"Huế, Thua Thien Hue, Vietnam",63.0,16.463713,107.590866,1010.0,304.15,sunny,36.0,3.06
2025-04-27 13:00:00,"Huế, Thua Thien Hue, Vietnam",64.0,16.463713,107.590866,1009.0,304.15,sunny,50.0,3.33
